title,price,page
"Django: Django , Web framework for Python",1075,111
PYTHON PROGRAMMING ADVANCED: The Guide for Data Analysis and Data Science. Discover Machin...,1790,237
Python Data Analytics: The Beginner's Real World Crash Course,2379,205
Programacion Con Python: Guia Completa para Principiantes   Aprende sobre Los Reinos De La...,2364,187
Snake Reptile Week Planner Weekly Organizer Calendar 2020 / 2021 - Green Tree Python: Cute...,960,110
Python for Everybody: Exploring Data in Python 3,1219,245
Python language for your growing children and for beginners,8491,224
101 Extra Python Challenges with Solutions / Code Listings,3205,264
CIE IGCSE COMPUTER SCIENCE 9-1 SYLLABUS 2020-2021: PAPER 2 SPECIFICATION BOOK WITH FULL PY...,4729,104
Computer Programming And Cyber Security for Beginners: This Book Includes: Python Machine ...,3033,408
Python GUI: For Signal and Image Processing,2352,220
Machine Learning with Scikit-Learn and TensorFlow: Deep Learning with Python (Random Fores...,1581,53
Python Machine Learning: How to learn Machine Learning with Python. The Complete Guide to ...,1801,162
Python Robotics Projects: Build smart and collaborative robots using Python,5374,340
Complex Network Analysis in Python: Recognize - Construct - Visualize - Analyze - Interpre...,4325,262
Python Projects【楽天海外直送】【英語の本】【洋書】,4526,-1
Python Cookbook: Recipes for Mastering Python 3,7192,706
"Simulating Nonlinear Circuits with Python Power Electronics: An Open-Source Simulator, Bas...",14542,215
Snake Reptile Week Planner Weekly Organizer Calendar 2020 / 2021 - Golden Python: Cute Wil...,960,110
Always Be Yourself Unless You Can Be A Python Then Be A Python: Bucket List Journal,834,107
Programming in Python 3: A Complete Introduction to the Python Language (Developer's Libra...,5388,648
Python Crash Course: Strategy guide for beginners with examples and practical exercises (P...,2385,248
Learn More Python 3 the Hard Way: The Next Step for New Python Programmers (Zed Shaw's Har...,5136,240
Python Machine Learning Blueprints: Put your machine learning concepts to the test by deve...,5408,378
Hands-On Unsupervised Learning with Python: Implement machine learning and deep learning m...,5374,386
Facts About the Ball Python (A Picture Book for Kids),1076,39
Python Scripting for ArcGIS,11060,358
Digital Modulations using Python: (Color edition),5900,216
"LEARN PYTHON PROGRAMMING: Write code from scratch in a clear & concise way, with a complet...",2567,225
"Matplotlib 2.x By Example: Multi-dimensional charts, graphs, and plots in Python",5152,334
"Practical Time Series Analysis: Master Time Series Data Processing, Visualization, and Mod...",5374,244
"Python Deep Learning Cookbook: Over 75 practical recipes on neural network modeling, reinf...",5374,330
"python crash course: The advanced language of technology. Python programming for AI, data ...",2153,156
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful Worl...,4531,320
Always Be Yourself Unless You Can Be A Python Then Be A Python: Hexagonal Graph Paper Note...,836,110
Keras Deep Learning Cookbook: Over 30 recipes for implementing deep neural networks in Pyt...,4182,252
"Python for Data Science For Dummies, 2nd Edition (For Dummies (Computer/Tech))",1089,496
Python Programming: A Pragmatic Approach To Programming Python for Total Beginners,1766,128
Python Parallel Programming Cookbook,5981,286
Python API Development Fundamentals: Develop a full-stack web application with Python and ...,4194,372
Impractical Python Projects: Playful Programming Activities to Make You Smarter,3447,424
"Ball Python: Ball Python:The Essential Rule On How To Care, Raise, Breed, Feed, Buy And Co...",734,71
"Linear Algebra, Signal Processing, and Wavelets - A Unified Approach: Python Version (Spri...",8621,364
A Student's Guide to Python for Physical Modeling,8976,154
Network Automation using Python 3: An Administrator's Handbook,1890,102
Python One-Liners,4600,256
Python ganz leicht: Programmieren lernen ohne Vorkenntnisse,1234,304
Programar con Python 3,5053,430
Python for Data Analysis: A Basic Programming Crash Course to Learn Python Data Science Es...,2363,247
Python: A Step-by-Step Guide For Absolute Beginners,1320,178
"Python Data Science: The Bible. The Ultimate Beginner’s Guide to Learn Data Analysis, from...",1759,123
Python Crash Course:  introduction to Programming with Python Coding Language + Python for...,2358,349
Python Programming for Beginners: A Step-by-Step Guide to Learn Python,734,35
Coding Games With Pygame Zero & Python: Student Workbook (B&W printing),1770,142
PYTHON3 TUTORIAL: LEARN PYTHON 3 THE EASY WAY!,1650,314
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming PY...",6336,-1
Hands-On Transfer Learning with Python: Implement advanced deep learning and neural networ...,5393,438
python for data science: the introduction to computer for absolutely beginners and advance...,1906,166
Python: Advanced Guide to Artificial Intelligence: Expert machine learning systems and int...,5971,764
Always Be Yourself Unless You Can Be A Python Then Be A Python: Workout Log Book,836,125
Python Machine Learning: A Beginner’s Guide to Python Programming for Machine Learning and...,2066,147
CIENCIA DE DATOS CON PYTHON: La Guia definitiva para principiantes para aprender la cienci...,2402,211
Make Art with Python: Programming for Creative People,4307,184
Python Programming: The Ultimate Beginner's Guide to Learn Python Step by Step,2399,88
Machine Learning with Python: The Ultimate Guide for Absolute Beginners with Steps to Impl...,2094,182
"Building Serverless Microservices in Python: A complete guide to building, testing, and de...",3582,168
Python Data Persistence: With SQL and NOSQL Databases,2329,316
"Starting Out with Python, Global Edition【楽天海外直送】【英語の本】【洋書】",14055,-1
Coding with Python: An Introductory Guide for Beginners to Learn and Start Coding with Pyt...,2389,192
"Python For Data Science: The Ultimate Guide to Learn Data Analysis, Visualization and Mini...",1905,210
Python Data Analysis Cookbook,5971,462
"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For In...",5169,815
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,3607,504
Regression Analysis with Python,5374,312
APRENDIZAJE AUTOMATIZADO CON PYTHON: Guia completa para principiantes para aprender sobre ...,2364,200
"Hands-On Q-Learning with Python: Practical Q-learning with OpenAI Gym, Keras, and TensorFl...",4179,212
Advanced Deep Learning with Python: Design and implement advanced next-generation AI solut...,5413,468
"Python Programming language: Python Programming Tutorial For Beginners, Intermediates and ...",769,116
Examples of using Python to create Geo-apps,4927,60
Designing Machine Learning Systems With Python A Complete Guide - 2020 Edition,11281,316
python for beginners: The Ultimate Guide for Data Science and How to Programming Python Sm...,1804,219
Python for beginners: Learn Python in a fun way,1539,155
Machine Learning with Python: A Step-By-Step Guide in Learning from Scratch Machine Learni...,2085,215
Introduction to Voice Computing in Python,3751,408
Math Adventures with Python: An Illustrated Guide to Exploring Math with Code,3607,304
A Book about the Film Monty Python's Life of Brian,2987,496
Always Be Yourself Unless You Can Be A Python Then Be A Python: Daily Food Journal,1067,183
Coding: this book includes: &quot;Python Coding and Programming + Linux for Beginners + Le...,2984,603
Algorithms with Python,1190,88
Python:Hands-On Python: The Definitive Guide For Absolute Beginners,474,200
Python Programming for Beginners: Basic  Language from Absolute Beginners to Intermediate....,1949,143
Python for Signal Processing: Featuring IPython Notebooks,11770,140
Python Essential Reference (5th Edition) (Developer's Library),5971,500
Always Be Yourself Unless You Can Be A Python Then Be A Python: Knitting Graph Paper Noteb...,834,110
Hybrid Imaging and Visualization: Employing Machine Learning with Mathematica - Python,18498,406
Python Machine Learning: The Ultimate and Complete Guide for Beginners on Data Science and...,2045,178
Python Programming: The complete guide to learn Python with practical exercises and sample...,3251,272
Python for Beginners: An Introduction to Learn Python Programming with Tutorials and Hands...,815,80
Data Science with Machine Learning: Python Interview Questions,2261,144
Python: For Beginners A Crash Course Guide To Learn Python in 1 Week,2400,156
Memorable Python: Learn Python Faster,1551,165
"Mastering Python: Machine Learning, Data Structures, Django, Object Oriented Programming a...",2554,609
Non-Programmers Tutorial for Python 2 and 3【楽天海外直送】【英語の本】【洋書】,1965,-1
Merry Hisstmass - A Gratitude Journal: Beautiful Gratitude Journal for Green tree python L...,838,117
"Python Machine Learning: A Practical Beginner's Guide for Understanding Machine Learning, ...",2388,292
Mastering Python Design Patterns,5044,212
Always Be Yourself Unless You Can Be A Python Then Be A Python: Song Writing Journal,837,103
Python GUI Programming Cookbook: Develop functional and responsive user interfaces with tk...,4775,486
"Trust Me, I'm a Python Developer: Dot Grid Notebook - 6 x 9 inches, 110 Pages - Tailored, ...",1018,110
Deep Learning with Python DEEP LEARNING W/PYTHON [ Francois Chollet ],12320,-1
Python for Kids: A Playful Introduction to Programming,4190,344
Python for Data Science,1164,31
Python Lab1 Excel openpyxl: Visual Programming (Python Labs),2280,82
"Coding Club Python Basics Level 1 (Coding Club, Level 1)",469,83
Neuronale Netze programmieren mit Python: Ihre Einfuehrung in die Kuenstliche Intelligenz....,3706,447
Hands-On GPU Programming with Python and CUDA: Explore high-performance parallel computing...,5354,310
A Collection of Advanced Data Science and Machine Learning Interview Questions Solved in P...,269,106
Think Python: How to Think Like a Computer Scientist,5374,292
Nonlinear Digital Filtering with Python: An Introduction,9809,300
Como obtener un sistema de recomendacion de productos con Python de forma sencilla.: Miner...,1803,49
Coffee Break NumPy: A Simple Road to Data Science Mastery That Fits Into Your Busy Life (C...,3556,224
Hands-On Machine Learning for Cybersecurity: Safeguard your system by making your machines...,5374,318
"Learn Data Analytics For Beginners: Data Analyst, Deep Learning, Neural Network, Python Da...",816,135
Learning Scientific Programming with Python,5080,460
Python for Beginners: Practical Introduction to Python Programming. Learn Fast and Well Py...,2069,206
Python 3: Programmieren fuer Einsteiger - Vom Anfaenger zum Python-Profi innerhalb 30 Tage...,1219,168
Programming: This Book Includes: Machine Learning + Python Machine Learning + Python Progr...,3322,459
Python for Beginners: The Crash Course to Learn Python Programming Fast (10 Python Project...,1430,103
Programmieren mit Python und Matlab,2461,138
Dot Grid Notebook: Vintage Style Python Snake Pattern Print - Dotted Bullet Style Snake No...,1099,120
Practical Cryptography in Python: Learning Correct Cryptography by Example,7456,371
Machine Learning With Python: An In-Depth Guide for Experts,2384,154
"Python For Data Analysis: A Step-by-Step Guide to Pandas, NumPy, and SciPy for Data Wrangl...",2200,126
Python: Python in proteomics,4583,38
PYTHON 3 PROGRAMMING: A simple guide to write code & object-oriented language. Learn all t...,2563,237
Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with...,7457,-1
Python Data Science Handbook: Essential Tools for Working with Data,8360,548
Hands-On Software Engineering with Python: Move beyond basic programming and construct rel...,5971,736
Coding with Python: A Simple Guide to Start learning: Lots of Exercises and Projects for D...,2045,148
Python for Tweens and Teens (Black & White Edition): Learn Computational and Algorithmic T...,3425,352
Beginning Anomaly Detection Using Python-Based Deep Learning: With Keras and PyTorch,4012,416
Python Machine Learning: A Hands-On Beginner's Guide to Effectively Understand Artificial ...,2277,133
Learn Python: Crash Course to Learn Algorithms Just By Doing Some Practice. It Will Really...,2286,144
"Notebook: Green Python , Journal for Writing, College Ruled Size 6&quot; x 9&quot;, 110 Pa...",1189,110
Python in a Nutshell: A Desktop Quick Reference,6368,772
Conceptual Programming with Python,2264,256
Machine Learning with Python: Discover How to Learn The Fundamentals to Create Machine Lea...,2079,101
Learn TensorFlow 2.0: Implement Machine Learning and Deep Learning Models with Python,5019,195
Hands-On Data Structures and Algorithms with Python: Write complex and powerful code using...,4776,398
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and...",4776,622
Python Machine Learning: Everything You Should Know About Python Machine Learning Includin...,1936,138
"Python Programming: The Complete Guide to Learn Python for Data Science, AI, Machine Learn...",1441,192
Python: 2 Books in 1: Introduction + Advanced  - The Complete Guide to Learn Python Progra...,2767,346
PYTHON FOR DATA SCIENCE: The Practical Beginner's Guide to Learn Python Data Science in On...,2143,113
Web Scraping with Python: Collecting More Data from the Modern Web【楽天海外直送】【英語の本】【洋書】,3978,-1
High Performance Python: Practical Performant Programming for Humans,7218,450
"Hands On Google Cloud SQL and Cloud Spanner: Deployment, Administration and Use Cases with...",4576,347
"Enterprise Architecture Patterns With Python: Enabling Test-driven Development, Domain-dri...",5969,280
Python Machine Learning,4777,320
YAML: Quick start including data processing and generation with Python and PHP,1099,56
Python: 2 Manuscripts in 1 book:  -Python For Beginners  -Python 3 Guide,3072,256
Mathematics and Python Programming,414,268
Python for Data Analysis: From the Beginner to Expert  Crash Course 3.0 that will Change y...,2072,160
"Python programming: The ultimate beginners guide to learn Python language fundamentals, ti...",2207,187
PYTHON FOR BEGINNERS: The Ultimate Step by Step Learning Guide for Beginners to Python Pro...,2340,78
Gray Hat Python: Python Programming for Hackers and Reverse Engineers【楽天海外直送】【英語の本】【洋書】,5772,-1
Mastering GUI Programming with Python: Develop impressive cross-platform GUI applications ...,4470,542
"Python Programming: The Beginners Crash Course to Learn Coding, Data Analytics and Machine...",2400,165
Coding - Computer programming (beginners onwards): Everything you need to get started with...,3045,192
Praxisbuch Unueberwachtes Lernen: Machine-Learning-Anwendungen fuer ungelabelte Daten mit ...,4902,384
Advanced Python Tips: Advanced Python explained Simply,2373,42
Green Tree Python: The Complete Guide On Everything You Need To Know About Green Tree Pyth...,835,26
Flask Web Development: Developing Web Applications with Python,5374,316
"Functional Python Programming: Discover the power of functional programming, generator fun...",5971,408
Functional Python Programming,5395,360
Python Programming: 100% Practical Guide for Absolute Beginners!,1544,89
Sketchbook: Floral Flower Vintage Retro   Ball Python Lover Tshir Spring Flowers - Leaves ...,776,110
QR code reading through a humanoid robot: Python techinques for QR code reading,1422,44
An Introduction to Statistics with Python: With Applications in the Life Sciences (Statist...,6747,278
Programmer's Guide to the Brain: With Examples in Python,1800,150
Python Data Science: 3 Books in 1: Hands on Learning for Beginners+A Hands-on Guide Beyond...,3584,686
Expert Python Programming - Second Edition,4550,536
Rapid GUI Programming with Python and Qt: The Definitive Guide to PyQt Programming【楽天海外直送】...,7642,-1
Matplotlib 3.0 Cookbook: Over 150 recipes to create highly detailed interactive visualizat...,5374,676
Python: The Comprehensive Guide to Python Programming for Beginners: The Science of Comput...,1552,80
Software Architecture with Python,5794,556
"Regular Expression Pocket Reference: Regular Expressions for Perl, Ruby, PHP, Python, C, J...",2389,128
Natural Language Processing Using Python,5176,280
"Learn Python Programming: The no-nonsense, beginner's guide to programming, data science, ...",4187,508
Brain Games Python: 99 Brain Teasers for Beginners to Energize Your Brain Cells and Python...,3589,193
"Practical Docker with Python: Build, Release and Distribute your Python App with Docker",3715,204
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",4941,560
"Notebook: Do You Marry Me Python Language Programming Tech Code , Journal for Writing, Col...",1188,110
Learning Python: The Ultimate Guide to Learning How to Develop Applications for Beginners ...,2092,137
Introducing Python: Modern Computing in Simple Packages,4201,484
Palpable Python Beat it in 7 days,989,112
"A Gratitude Journal: Beautiful Gratitude Journal for Green tree python Lovers, Pet Snake O...",838,117
Website Scraping with Python: Using BeautifulSoup and Scrapy,3698,244
Python Programming Notebook: The Little Notebook Of Python Codes: Blank Ruled Lined Notebo...,956,120
Python for Everyone,14047,752
