Title,Pages,Price
"Django: Django , Web framework for Python",111,1075
PYTHON PROGRAMMING ADVANCED: The Guide for Data Analysis and Data Science. Discover Machin...,237,1790
Python Data Analytics: The Beginner's Real World Crash Course,205,2379
Programacion Con Python: Guia Completa para Principiantes   Aprende sobre Los Reinos De La...,187,2364
Snake Reptile Week Planner Weekly Organizer Calendar 2020 / 2021 - Green Tree Python: Cute...,110,960
Python for Everybody: Exploring Data in Python 3,245,1219
Python language for your growing children and for beginners,224,8491
101 Extra Python Challenges with Solutions / Code Listings,264,3205
CIE IGCSE COMPUTER SCIENCE 9-1 SYLLABUS 2020-2021: PAPER 2 SPECIFICATION BOOK WITH FULL PY...,104,4729
Computer Programming And Cyber Security for Beginners: This Book Includes: Python Machine ...,408,3033
Python GUI: For Signal and Image Processing,220,2352
Machine Learning with Scikit-Learn and TensorFlow: Deep Learning with Python (Random Fores...,53,1581
Python Machine Learning: How to learn Machine Learning with Python. The Complete Guide to ...,162,1801
Python Robotics Projects: Build smart and collaborative robots using Python,340,5374
Complex Network Analysis in Python: Recognize - Construct - Visualize - Analyze - Interpre...,262,4325
Python Projects【楽天海外直送】【英語の本】【洋書】,-1,4526
Python Cookbook: Recipes for Mastering Python 3,706,7192
"Simulating Nonlinear Circuits with Python Power Electronics: An Open-Source Simulator, Bas...",215,14542
Snake Reptile Week Planner Weekly Organizer Calendar 2020 / 2021 - Golden Python: Cute Wil...,110,960
Always Be Yourself Unless You Can Be A Python Then Be A Python: Bucket List Journal,107,834
Programming in Python 3: A Complete Introduction to the Python Language (Developer's Libra...,648,5388
Python Crash Course: Strategy guide for beginners with examples and practical exercises (P...,248,2385
Learn More Python 3 the Hard Way: The Next Step for New Python Programmers (Zed Shaw's Har...,240,5136
Python Machine Learning Blueprints: Put your machine learning concepts to the test by deve...,378,5408
Hands-On Unsupervised Learning with Python: Implement machine learning and deep learning m...,386,5374
Facts About the Ball Python (A Picture Book for Kids),39,1076
Python Scripting for ArcGIS,358,11060
Digital Modulations using Python: (Color edition),216,5900
"LEARN PYTHON PROGRAMMING: Write code from scratch in a clear & concise way, with a complet...",225,2567
"Matplotlib 2.x By Example: Multi-dimensional charts, graphs, and plots in Python",334,5152
"Practical Time Series Analysis: Master Time Series Data Processing, Visualization, and Mod...",244,5374
"Python Deep Learning Cookbook: Over 75 practical recipes on neural network modeling, reinf...",330,5374
"python crash course: The advanced language of technology. Python programming for AI, data ...",156,2153
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful Worl...,320,4531
Always Be Yourself Unless You Can Be A Python Then Be A Python: Hexagonal Graph Paper Note...,110,836
Keras Deep Learning Cookbook: Over 30 recipes for implementing deep neural networks in Pyt...,252,4182
"Python for Data Science For Dummies, 2nd Edition (For Dummies (Computer/Tech))",496,1089
Python Programming: A Pragmatic Approach To Programming Python for Total Beginners,128,1766
Python Parallel Programming Cookbook,286,5981
Python API Development Fundamentals: Develop a full-stack web application with Python and ...,372,4194
Impractical Python Projects: Playful Programming Activities to Make You Smarter,424,3447
"Ball Python: Ball Python:The Essential Rule On How To Care, Raise, Breed, Feed, Buy And Co...",71,734
"Linear Algebra, Signal Processing, and Wavelets - A Unified Approach: Python Version (Spri...",364,8621
A Student's Guide to Python for Physical Modeling,154,8976
Network Automation using Python 3: An Administrator's Handbook,102,1890
Python One-Liners,256,4600
Python ganz leicht: Programmieren lernen ohne Vorkenntnisse,304,1234
Programar con Python 3,430,5053
Python for Data Analysis: A Basic Programming Crash Course to Learn Python Data Science Es...,247,2363
Python: A Step-by-Step Guide For Absolute Beginners,178,1320
"Python Data Science: The Bible. The Ultimate Beginner’s Guide to Learn Data Analysis, from...",123,1759
Python Crash Course:  introduction to Programming with Python Coding Language + Python for...,349,2358
Python Programming for Beginners: A Step-by-Step Guide to Learn Python,35,734
Coding Games With Pygame Zero & Python: Student Workbook (B&W printing),142,1770
PYTHON3 TUTORIAL: LEARN PYTHON 3 THE EASY WAY!,314,1650
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming PY...",-1,6336
Hands-On Transfer Learning with Python: Implement advanced deep learning and neural networ...,438,5393
python for data science: the introduction to computer for absolutely beginners and advance...,166,1906
Python: Advanced Guide to Artificial Intelligence: Expert machine learning systems and int...,764,5971
Always Be Yourself Unless You Can Be A Python Then Be A Python: Workout Log Book,125,836
Python Machine Learning: A Beginner’s Guide to Python Programming for Machine Learning and...,147,2066
CIENCIA DE DATOS CON PYTHON: La Guia definitiva para principiantes para aprender la cienci...,211,2402
Make Art with Python: Programming for Creative People,184,4307
Python Programming: The Ultimate Beginner's Guide to Learn Python Step by Step,88,2399
Machine Learning with Python: The Ultimate Guide for Absolute Beginners with Steps to Impl...,182,2094
"Building Serverless Microservices in Python: A complete guide to building, testing, and de...",168,3582
Python Data Persistence: With SQL and NOSQL Databases,316,2329
"Starting Out with Python, Global Edition【楽天海外直送】【英語の本】【洋書】",-1,14055
Coding with Python: An Introductory Guide for Beginners to Learn and Start Coding with Pyt...,192,2389
"Python For Data Science: The Ultimate Guide to Learn Data Analysis, Visualization and Mini...",210,1905
Python Data Analysis Cookbook,462,5971
"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For In...",815,5169
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,504,3607
Regression Analysis with Python,312,5374
APRENDIZAJE AUTOMATIZADO CON PYTHON: Guia completa para principiantes para aprender sobre ...,200,2364
"Hands-On Q-Learning with Python: Practical Q-learning with OpenAI Gym, Keras, and TensorFl...",212,4179
Advanced Deep Learning with Python: Design and implement advanced next-generation AI solut...,468,5413
"Python Programming language: Python Programming Tutorial For Beginners, Intermediates and ...",116,769
Examples of using Python to create Geo-apps,60,4927
Designing Machine Learning Systems With Python A Complete Guide - 2020 Edition,316,11281
python for beginners: The Ultimate Guide for Data Science and How to Programming Python Sm...,219,1804
Python for beginners: Learn Python in a fun way,155,1539
Machine Learning with Python: A Step-By-Step Guide in Learning from Scratch Machine Learni...,215,2085
Introduction to Voice Computing in Python,408,3751
Math Adventures with Python: An Illustrated Guide to Exploring Math with Code,304,3607
A Book about the Film Monty Python's Life of Brian,496,2987
Always Be Yourself Unless You Can Be A Python Then Be A Python: Daily Food Journal,183,1067
Coding: this book includes: &quot;Python Coding and Programming + Linux for Beginners + Le...,603,2984
Algorithms with Python,88,1190
Python:Hands-On Python: The Definitive Guide For Absolute Beginners,200,474
Python Programming for Beginners: Basic  Language from Absolute Beginners to Intermediate....,143,1949
Python for Signal Processing: Featuring IPython Notebooks,140,11770
Python Essential Reference (5th Edition) (Developer's Library),500,5971
Always Be Yourself Unless You Can Be A Python Then Be A Python: Knitting Graph Paper Noteb...,110,834
Hybrid Imaging and Visualization: Employing Machine Learning with Mathematica - Python,406,18498
Python Machine Learning: The Ultimate and Complete Guide for Beginners on Data Science and...,178,2045
Python Programming: The complete guide to learn Python with practical exercises and sample...,272,3251
Python for Beginners: An Introduction to Learn Python Programming with Tutorials and Hands...,80,815
Data Science with Machine Learning: Python Interview Questions,144,2261
Python: For Beginners A Crash Course Guide To Learn Python in 1 Week,156,2400
Memorable Python: Learn Python Faster,165,1551
"Mastering Python: Machine Learning, Data Structures, Django, Object Oriented Programming a...",609,2554
Non-Programmers Tutorial for Python 2 and 3【楽天海外直送】【英語の本】【洋書】,-1,1965
Merry Hisstmass - A Gratitude Journal: Beautiful Gratitude Journal for Green tree python L...,117,838
"Python Machine Learning: A Practical Beginner's Guide for Understanding Machine Learning, ...",292,2388
